"sample_a","sample_b","kinship"
"IRIS_313-11197","IRIS_313-8621",0.400684398660794
"IRIS_313-11198","IRIS_313-8621",-0.227868783196583
"IRIS_313-11200","IRIS_313-8621",0.602338166506115
"IRIS_313-11245","IRIS_313-8621",0.638839388789891
"IRIS_313-11247","IRIS_313-8621",0.42898301434911
"IRIS_313-11255","IRIS_313-8621",0.192589665116003
"IRIS_313-11257","IRIS_313-8621",0.237209569834584
"IRIS_313-11265","IRIS_313-8621",-0.340693986438638
"IRIS_313-11274","IRIS_313-8621",-0.175915338190723
"IRIS_313-11275","IRIS_313-8621",0.132878670635858
"IRIS_313-11276","IRIS_313-8621",0.139531905507725
"IRIS_313-11277","IRIS_313-8621",-0.243709208048811
"IRIS_313-11281","IRIS_313-8621",0.242796569764922
"IRIS_313-11283","IRIS_313-8621",0.14891850589044
"IRIS_313-11290","IRIS_313-8621",0.170800578022665
"IRIS_313-11291","IRIS_313-8621",-0.343469960879339
"IRIS_313-11298","IRIS_313-8621",-0.354812838078852
"IRIS_313-11299","IRIS_313-8621",0.159762962327084
"IRIS_313-11302","IRIS_313-8621",0.0770314218307852
"IRIS_313-11303","IRIS_313-8621",0.189499877335501
"IRIS_313-11304","IRIS_313-8621",0.200612669708763
"IRIS_313-11306","IRIS_313-8621",0.220112778447424
"IRIS_313-11309","IRIS_313-8621",0.229979959809167
"IRIS_313-11348","IRIS_313-8621",-0.314925867156454
"IRIS_313-11355","IRIS_313-8621",0.323613451161418
"IRIS_313-11358","IRIS_313-8621",0.447343838278767
"IRIS_313-11371","IRIS_313-8621",-0.362671771755341
"IRIS_313-11374","IRIS_313-8621",-0.358010830496211
"IRIS_313-11408","IRIS_313-8621",0.214066004026826
"IRIS_313-11414","IRIS_313-8621",0.175545998791878
"IRIS_313-11433","IRIS_313-8621",0.565570563731936
"IRIS_313-11445","IRIS_313-8621",0.359112176761288
"IRIS_313-11447","IRIS_313-8621",0.191788916012939
"IRIS_313-11452","IRIS_313-8621",-0.219277779644078
"IRIS_313-11453","IRIS_313-8621",0.101958273275778
"IRIS_313-11454","IRIS_313-8621",-0.3349568419906
"IRIS_313-11455","IRIS_313-8621",-0.320881785043731
"IRIS_313-11458","IRIS_313-8621",-0.321403588895329
"IRIS_313-11462","IRIS_313-8621",-0.34480817478706
"IRIS_313-11476","IRIS_313-8621",-0.201028825118616
"IRIS_313-11477","IRIS_313-8621",-0.338230110024361
"IRIS_313-11479","IRIS_313-8621",-0.186848248028291
"IRIS_313-11489","IRIS_313-8621",-0.190942146896269
"IRIS_313-11491","IRIS_313-8621",0.173183128095004
"IRIS_313-11493","IRIS_313-8621",0.447022265016591
"IRIS_313-11494","IRIS_313-8621",-0.275094373495159
"IRIS_313-11596","IRIS_313-8621",0.117615117343078
"IRIS_313-11597","IRIS_313-8621",0.0811166337418607
"IRIS_313-11599","IRIS_313-8621",0.320371633027504
"IRIS_313-11600","IRIS_313-8621",0.142380861246175
"IRIS_313-11602","IRIS_313-8621",-0.344912614836121
"IRIS_313-11604","IRIS_313-8621",-0.320392990298447
"IRIS_313-11616","IRIS_313-8621",-0.0693414927817304
"IRIS_313-11618","IRIS_313-8621",-0.308610224407929
"IRIS_313-11620","IRIS_313-8621",-0.334498796964932
"IRIS_313-11621","IRIS_313-8621",0.529842398831711
"IRIS_313-11636","IRIS_313-8621",-0.361706396270857
"IRIS_313-11638","IRIS_313-8621",0.168558515976072
"IRIS_313-11639","IRIS_313-8621",0.361069570014643
"IRIS_313-11641","IRIS_313-8621",0.214333335623928
"IRIS_313-11646","IRIS_313-8621",0.396859779478062
"IRIS_313-11647","IRIS_313-8621",0.0958886472544642
"IRIS_313-11648","IRIS_313-8621",0.292563180639952
"IRIS_313-11712","IRIS_313-8621",-0.329715939204365
"IRIS_313-11737","IRIS_313-8621",-0.302665110281413
"IRIS_313-11738","IRIS_313-8621",0.103292969723471
"IRIS_313-11742","IRIS_313-8621",-0.344507474423692
"IRIS_313-11828","IRIS_313-8621",0.194532790063398
"IRIS_313-11913","IRIS_313-8621",-0.239363962144876
"IRIS_313-11917","IRIS_313-8621",-0.362054857654072
"IRIS_313-11918","IRIS_313-8621",0.180825227135149
"IRIS_313-11919","IRIS_313-8621",0.145402771856127
"IRIS_313-11937","IRIS_313-8621",0.747031951610261
"IRIS_313-11963","IRIS_313-8621",-0.312280369212415
"IRIS_313-12052","IRIS_313-8621",0.0841993042635155
"CX151","IRIS_313-8731",-0.284720889824113
"IRIS_313-8458","IRIS_313-8731",0.0632015552392376
"IRIS_313-8621","IRIS_313-8731",0.153208108332542
"IRIS_313-8731","IRIS_313-8731",1.87188772255943
"IRIS_313-8754","IRIS_313-8731",0.479561345796855
"IRIS_313-8924","IRIS_313-8731",0.662613494557435
"IRIS_313-8982","IRIS_313-8731",0.0550200627979061
"IRIS_313-9023","IRIS_313-8731",0.0985331705689232
"IRIS_313-9351","IRIS_313-8731",0.321381528680977
"IRIS_313-9400","IRIS_313-8731",-0.0262450115156217
"IRIS_313-9522","IRIS_313-8731",0.0502656434499366
"IRIS_313-9604","IRIS_313-8731",0.145867180587582
"IRIS_313-9605","IRIS_313-8731",0.150581160929411
"IRIS_313-9611","IRIS_313-8731",0.700799210642714
"IRIS_313-10148","IRIS_313-8731",0.0887588764968078
"IRIS_313-10150","IRIS_313-8731",-0.296018821658031
"IRIS_313-10531","IRIS_313-8731",0.0349965485624003
"IRIS_313-10534","IRIS_313-8731",-0.319709256945087
"IRIS_313-10543","IRIS_313-8731",-0.299782532278445
"IRIS_313-10544","IRIS_313-8731",0.353286745369542
"IRIS_313-10608","IRIS_313-8731",-0.342755532480825
"IRIS_313-10666","IRIS_313-8731",0.183889597148551
"IRIS_313-10671","IRIS_313-8731",-0.0307391576948728
"IRIS_313-10675","IRIS_313-8731",0.0601329532850637
"IRIS_313-10676","IRIS_313-8731",-0.127020630295512
"IRIS_313-10754","IRIS_313-8731",0.0611873901850333
"IRIS_313-10833","IRIS_313-8731",0.294556768734638
"IRIS_313-10834","IRIS_313-8731",-0.305017021302359
"IRIS_313-10835","IRIS_313-8731",0.354269098173001
"IRIS_313-10836","IRIS_313-8731",0.363155182710369
"IRIS_313-10849","IRIS_313-8731",-0.324069059809919
"IRIS_313-10850","IRIS_313-8731",0.0649445433622265
"IRIS_313-10852","IRIS_313-8731",-0.336537588575476
"IRIS_313-10853","IRIS_313-8731",-0.315530213362577
"IRIS_313-10857","IRIS_313-8731",-0.0871198655820388
"IRIS_313-10859","IRIS_313-8731",-0.0165349273436112
"IRIS_313-10861","IRIS_313-8731",-0.291496387958573
"IRIS_313-10862","IRIS_313-8731",-0.311933267572758
"IRIS_313-10865","IRIS_313-8731",-0.326635199168282
"IRIS_313-10866","IRIS_313-8731",-0.332176165159895
"IRIS_313-10867","IRIS_313-8731",-0.304521670265494
"IRIS_313-10869","IRIS_313-8731",-0.333038664102892
"IRIS_313-10870","IRIS_313-8731",-0.306255158374256
"IRIS_313-10871","IRIS_313-8731",-0.306025619294065
"IRIS_313-10872","IRIS_313-8731",-0.228077030979754
"IRIS_313-10873","IRIS_313-8731",-0.296426068521499
"IRIS_313-10875","IRIS_313-8731",-0.318336499378135
"IRIS_313-10876","IRIS_313-8731",-0.319337159342244
"IRIS_313-10877","IRIS_313-8731",-0.317432489371947
