"sample","PC1","PC2","PC3","PC4","PC5","PC6"
"IRIS_313-11161",0.0632135768915547,0.187714138331522,-0.00651169086318112,-0.00673287162184764,0.00676400215728501,-0.000681885614255917
"IRIS_313-11164",0.10137547087716,-0.0822964375813383,-0.00561291053528,0.00560721354393216,0.0895459363561498,0.0178301361487315
"IRIS_313-11165",0.0272027854062587,-0.0616885808811356,-0.0472407432104883,-0.0475204718616959,0.0200663421281364,0.0234181072147191
"IRIS_313-11166",0.0746699588475453,-0.0495013054295345,-0.016330425177619,0.029788681453919,0.183557054706731,0.015754366203747
"IRIS_313-11167",-0.0820816223327588,-0.0157595477495545,-0.110478066790513,-0.0551609143054681,0.000510946003070157,0.0099103823907457
"IRIS_313-11168",0.0887032653940016,-0.0587661925570824,-0.00516852382928658,0.00172921040327166,0.0929450279014788,0.0214603160680843
"IRIS_313-11169",0.0953804342200034,-0.0764602080791374,0.00613873355016475,0.0144051801356545,0.0485269225853739,0.00336306459922303
"IRIS_313-11170",0.0992159986501298,-0.0722562109606133,-0.00607439394085694,0.0167673171706823,0.149818430097511,0.0173941858893672
"IRIS_313-11171",0.0858040164703174,-0.0601473954300454,-0.0035424927141203,0.0519182239921494,0.142422577374907,-0.0144649126105798
"IRIS_313-11172",0.0971811021459951,-0.071339653988422,0.0103013154720305,-0.0281426929044319,-0.0424272222463098,0.0235103249514526
"IRIS_313-11173",0.0946915135107015,-0.0743073073999111,-0.00966580963607205,0.00457385152846398,0.0891650901450085,0.0314647883957156
"IRIS_313-11174",0.0960768151297831,-0.06600990274128,0.00278628306956475,-0.0231078523240899,-0.00158967044886509,0.0282057093314051
"IRIS_313-11175",0.103636827602479,-0.0837145476067651,0.0108991981066757,-0.0229795201865664,-0.0571452629825746,0.0189522545458257
"IRIS_313-11176",-0.0165189705996865,-0.0226608215988477,0.01072184221869,0.0374478833397857,0.0134825574036814,0.124406283800716
"IRIS_313-11197",-0.094680108304555,-0.00268788482952904,0.112832897104264,-0.00514470936506915,0.00634833930959147,0.0872932227310309
"IRIS_313-11198",0.0654722395216442,0.188477015146239,-0.00866527753607932,-0.00261426807214644,0.0238405581514818,0.0153155277256394
"IRIS_313-11200",-0.0971793567188006,0.00463901012656507,0.088431957982084,0.00540177000333538,0.0045133176037172,0.29570178892693
"IRIS_313-11245",-0.10278134971811,0.00402653365750369,0.193362543201891,-0.0383762917212249,0.0173832127187342,0.164450250701865
"IRIS_313-11247",-0.104691011809164,-0.00384559111184721,0.212147605458353,-0.146011684890759,0.0492008007397729,-0.194296742779696
"IRIS_313-11255",-0.0811828630591449,-0.0073044157978794,0.0240047750248762,0.167306631729456,-0.0487368299204389,-0.133313415808656
"IRIS_313-11257",-0.0444215183980124,0.0552079259740964,-0.0205220234776193,0.0279796871473978,-0.00771366628887061,0.032606135187933
"IRIS_313-11265",0.0978714618867497,-0.0792518917091204,0.00329755976896808,-0.00673762849735479,-0.0167054834563989,0.0232198901391668
"IRIS_313-11274",0.0518153141136531,-0.0523284025166544,-0.000686306364817595,0.0352514549416651,0.0725436854603014,0.0341546130095217
"IRIS_313-11275",-0.0646332125984969,-0.0119241460932123,-0.00270446152583492,0.167960273726442,-0.00419388142582245,-0.0328508429152721
"IRIS_313-11276",-0.0728660610595751,0.0179762942606042,-0.0213919419799056,0.166658117845276,-0.0558193018420353,0.0746708454080692
"IRIS_313-11277",0.0521480728249418,-0.0435790163645813,-0.0171505186569748,0.077000978601286,0.208829193539552,0.00717013551762085
"IRIS_313-11281",-0.088407508086257,-0.00385008504515364,0.0960978697755773,0.0326745059860918,-0.022620274329331,-0.0849203895176876
"IRIS_313-11283",-0.0727877712984789,0.00252257021717997,0.0120158316246003,0.130820117009563,-0.0575673114394589,-0.0513561094978586
"IRIS_313-11290",-0.0241707049144629,0.0556229321857928,0.0280016133858582,0.0557134746756584,0.00361996674414844,0.0285036682602891
"IRIS_313-11291",0.0969268502833184,-0.0829536056598348,0.0193192688883429,-0.0261458101823996,-0.13364140412253,0.0198739160364351
"IRIS_313-11298",0.104058571160927,-0.0735135270463229,0.00555329344929573,-0.0168990584778939,-0.0461570016288649,0.0213660292923456
"IRIS_313-11299",-0.0804246686365746,-0.0024263332380174,-0.00926582988312849,0.110186012473563,-0.0410981833428474,0.0256656038431863
"IRIS_313-11302",-0.0358742892314265,-0.0139324079215634,-0.0131637538152205,0.136528274028982,0.0533678680643666,0.0398180081531773
