"sample_a","sample_b","distance"
"IRIS_313-11963","CX151",0.323793466807165
"IRIS_313-12052","CX151",0.357604153476003
"CX151","IRIS_313-8458",0.373985485463993
"IRIS_313-8458","IRIS_313-8458",0
"IRIS_313-8621","IRIS_313-8458",0.257520176082172
"IRIS_313-8731","IRIS_313-8458",0.28915770209347
"IRIS_313-8754","IRIS_313-8458",0.283928180424787
"IRIS_313-8924","IRIS_313-8458",0.291330343796712
"IRIS_313-8982","IRIS_313-8458",0.285368983957219
"IRIS_313-9023","IRIS_313-8458",0.286104822519329
"IRIS_313-9351","IRIS_313-8458",0.311410868723377
"IRIS_313-9400","IRIS_313-8458",0.289599547806426
"IRIS_313-9522","IRIS_313-8458",0.264998486093689
"IRIS_313-9604","IRIS_313-8458",0.293204715969989
"IRIS_313-9605","IRIS_313-8458",0.270739934247043
"IRIS_313-9611","IRIS_313-8458",0.283719727656641
"IRIS_313-10148","IRIS_313-8458",0.292409069233104
"IRIS_313-10150","IRIS_313-8458",0.363829592722951
"IRIS_313-10531","IRIS_313-8458",0.298681587531714
"IRIS_313-10534","IRIS_313-8458",0.360366140553488
"IRIS_313-10543","IRIS_313-8458",0.362193891589471
"IRIS_313-10544","IRIS_313-8458",0.290861685758249
"IRIS_313-10608","IRIS_313-8458",0.369337592617241
"IRIS_313-10666","IRIS_313-8458",0.256487281094209
"IRIS_313-10671","IRIS_313-8458",0.273412988352602
"IRIS_313-10675","IRIS_313-8458",0.275491033304868
"IRIS_313-10676","IRIS_313-8458",0.285659163987138
"IRIS_313-10754","IRIS_313-8458",0.285799957164275
"IRIS_313-10833","IRIS_313-8458",0.275058325412598
"IRIS_313-10834","IRIS_313-8458",0.381858710562414
"IRIS_313-10835","IRIS_313-8458",0.282592893487835
"IRIS_313-10836","IRIS_313-8458",0.28511863823934
"IRIS_313-10849","IRIS_313-8458",0.369945331482124
"IRIS_313-10850","IRIS_313-8458",0.339551443312156
"IRIS_313-10852","IRIS_313-8458",0.367714528462192
"IRIS_313-10853","IRIS_313-8458",0.380504093063335
"IRIS_313-10857","IRIS_313-8458",0.283454677055392
"IRIS_313-10859","IRIS_313-8458",0.292743347712809
"IRIS_313-10861","IRIS_313-8458",0.364126741420319
"IRIS_313-10862","IRIS_313-8458",0.380220304436446
"IRIS_313-10865","IRIS_313-8458",0.382499128008371
"IRIS_313-10866","IRIS_313-8458",0.385395449620802
"IRIS_313-10867","IRIS_313-8458",0.381700594643865
"IRIS_313-10869","IRIS_313-8458",0.371543803649226
"IRIS_313-10870","IRIS_313-8458",0.378395140938449
"IRIS_313-10871","IRIS_313-8458",0.371039856923863
"IRIS_313-10872","IRIS_313-8458",0.349929664521079
"IRIS_313-10873","IRIS_313-8458",0.357087159937619
"IRIS_313-10875","IRIS_313-8458",0.367125005404938
"IRIS_313-10876","IRIS_313-8458",0.366506828787944
"IRIS_313-10877","IRIS_313-8458",0.367013112309784
"IRIS_313-10878","IRIS_313-8458",0.367107099249956
"IRIS_313-10879","IRIS_313-8458",0.336288004181549
"IRIS_313-10883","IRIS_313-8458",0.367308353386043
"IRIS_313-10888","IRIS_313-8458",0.378501460732085
"IRIS_313-10893","IRIS_313-8458",0.387225203392764
"IRIS_313-10894","IRIS_313-8458",0.330232558139535
"IRIS_313-10895","IRIS_313-8458",0.384983888292159
"IRIS_313-10897","IRIS_313-8458",0.27068772111485
"IRIS_313-11041","IRIS_313-8458",0.303777748928989
"IRIS_313-11152","IRIS_313-8458",0.290278081891833
"IRIS_313-11155","IRIS_313-8458",0.369855809265022
"IRIS_313-11156","IRIS_313-8458",0.370097608160394
"IRIS_313-11161","IRIS_313-8458",0.371606960988354
"IRIS_313-11164","IRIS_313-8458",0.37265035544507
"IRIS_313-11165","IRIS_313-8458",0.34886114761279
"IRIS_313-11166","IRIS_313-8458",0.357834783388645
"IRIS_313-11167","IRIS_313-8458",0.285915115812023
"IRIS_313-11168","IRIS_313-8458",0.363603048959249
"IRIS_313-11169","IRIS_313-8458",0.367442783436963
"IRIS_313-11170","IRIS_313-8458",0.37336889437489
"IRIS_313-11171","IRIS_313-8458",0.361706288843496
"IRIS_313-11172","IRIS_313-8458",0.36998849455704
"IRIS_313-11173","IRIS_313-8458",0.369263376443618
"IRIS_313-11174","IRIS_313-8458",0.366706358656823
"IRIS_313-11175","IRIS_313-8458",0.372289104263549
"IRIS_313-11176","IRIS_313-8458",0.283342752189884
"IRIS_313-11197","IRIS_313-8458",0.27325556181968
"IRIS_313-11198","IRIS_313-8458",0.379854731894894
"IRIS_313-11200","IRIS_313-8458",0.259144357183147
"IRIS_313-11245","IRIS_313-8458",0.259632597391527
"IRIS_313-11247","IRIS_313-8458",0.295856224181253
"IRIS_313-11255","IRIS_313-8458",0.266855066612838
"IRIS_313-11257","IRIS_313-8458",0.293573033707865
"IRIS_313-11265","IRIS_313-8458",0.365273407602687
"IRIS_313-11274","IRIS_313-8458",0.335645823824738
"IRIS_313-11275","IRIS_313-8458",0.276233049578646
"IRIS_313-11276","IRIS_313-8458",0.280321673404816
"IRIS_313-11277","IRIS_313-8458",0.347747015276649
"IRIS_313-11281","IRIS_313-8458",0.282573254965893
"IRIS_313-11283","IRIS_313-8458",0.27114203496113
"IRIS_313-11290","IRIS_313-8458",0.309863839978711
"IRIS_313-11291","IRIS_313-8458",0.365488368078035
"IRIS_313-11298","IRIS_313-8458",0.367513920176818
"IRIS_313-11299","IRIS_313-8458",0.261949167244969
"IRIS_313-11302","IRIS_313-8458",0.280073422692735
"IRIS_313-11303","IRIS_313-8458",0.262498342394908
"IRIS_313-11304","IRIS_313-8458",0.257969303423849
"IRIS_313-11306","IRIS_313-8458",0.271295975017349
"IRIS_313-11309","IRIS_313-8458",0.27119406823247
"IRIS_313-11348","IRIS_313-8458",0.368063639891346
"IRIS_313-11355","IRIS_313-8458",0.31472363745344
"IRIS_313-11358","IRIS_313-8458",0.274514417729101
"IRIS_313-11371","IRIS_313-8458",0.369756369563352
"IRIS_313-11374","IRIS_313-8458",0.370441170153357
"IRIS_313-11408","IRIS_313-8458",0.275536574682435
"IRIS_313-11414","IRIS_313-8458",0.281254096569806
"IRIS_313-11433","IRIS_313-8458",0.284985422740525
"IRIS_313-11445","IRIS_313-8458",0.291454995440927
"IRIS_313-11447","IRIS_313-8458",0.257439327673441
"IRIS_313-11452","IRIS_313-8458",0.364718801136853
"IRIS_313-11453","IRIS_313-8458",0.289121730982196
"IRIS_313-11454","IRIS_313-8458",0.361453254640322
"IRIS_313-11455","IRIS_313-8458",0.365666494223142
"IRIS_313-11458","IRIS_313-8458",0.364941790789248
"IRIS_313-11462","IRIS_313-8458",0.370243027377952
"IRIS_313-11476","IRIS_313-8458",0.344780454467794
"IRIS_313-11477","IRIS_313-8458",0.381245196003075
"IRIS_313-11479","IRIS_313-8458",0.363010436062876
"IRIS_313-11489","IRIS_313-8458",0.347528939387467
"IRIS_313-11491","IRIS_313-8458",0.290353739160299
"IRIS_313-11493","IRIS_313-8458",0.173998044965787
"IRIS_313-11494","IRIS_313-8458",0.385299182092122
"IRIS_313-11596","IRIS_313-8458",0.339176535978451
"IRIS_313-11597","IRIS_313-8458",0.294735916267206
"IRIS_313-11599","IRIS_313-8458",0.273869777815905
"IRIS_313-11600","IRIS_313-8458",0.281049084379018
"IRIS_313-11602","IRIS_313-8458",0.367188519243314
"IRIS_313-11604","IRIS_313-8458",0.378537936913896
"IRIS_313-11616","IRIS_313-8458",0.330562933767458
"IRIS_313-11618","IRIS_313-8458",0.367118846514803
"IRIS_313-11620","IRIS_313-8458",0.36653709794541
"IRIS_313-11621","IRIS_313-8458",0.239077253218884
"IRIS_313-11636","IRIS_313-8458",0.368637356051201
"IRIS_313-11638","IRIS_313-8458",0.28823830658928
"IRIS_313-11639","IRIS_313-8458",0.2994511384589
"IRIS_313-11641","IRIS_313-8458",0.281194198858935
"IRIS_313-11646","IRIS_313-8458",0.272872069317023
"IRIS_313-11647","IRIS_313-8458",0.304042216809811
"IRIS_313-11648","IRIS_313-8458",0.283406410965902
"IRIS_313-11712","IRIS_313-8458",0.36536572868184
