"sample","PC1","PC2","PC3","PC4","group"
"B152",-0.0153791395494797,-0.0049942860683305,0.0319254505189929,-0.00159379396903291,"3K-RGP reference (unlabelled)"
"B153",0.00934465499022609,-0.0076218292895169,0.00341602114995342,0.00192364904923555,"3K-RGP reference (unlabelled)"
"B154",-0.0264093295547985,-0.00627510410369958,0.0456003396642473,0.000556952962802405,"3K-RGP reference (unlabelled)"
"B155",0.00842076855781316,-0.00691646629547697,-0.00168836111045214,0.00307243775447138,"3K-RGP reference (unlabelled)"
"B156",0.0137016788672168,-0.00838130529199488,0.00237860185674867,0.0028743607074815,"3K-RGP reference (unlabelled)"
"B157",0.0139408408828443,-0.00876125743979654,0.00320084113869053,0.00286228044380729,"3K-RGP reference (unlabelled)"
"B158",-0.00605616737938236,-0.00760793072653845,0.0224196424243021,0.00176698365511746,"3K-RGP reference (unlabelled)"
"B159",0.0124376177278394,-0.00922304929438728,0.00268691581435552,0.00281571986138318,"3K-RGP reference (unlabelled)"
"B160",-0.0305005629799765,-0.00636034682611042,0.0535608651751279,-4.8593718668104e-05,"3K-RGP reference (unlabelled)"
"B161",-0.0285272448049416,-0.0051418531824045,0.0330298149109152,-0.00385087608543517,"3K-RGP reference (unlabelled)"
"B162",-0.0284220344435231,-0.00569339921076544,0.044949581758118,-0.00487670347565633,"3K-RGP reference (unlabelled)"
"B163",0.0113543664179698,-0.00624321952643378,0.00243215177175265,0.00252251885398092,"3K-RGP reference (unlabelled)"
"B164",0.00420644113790545,0.0504608046878067,0.00315079782419946,0.0158112733038831,"3K-RGP reference (unlabelled)"
"B165",0.0118814518347979,-0.00615822936844226,0.000333984942472968,0.000618641403879423,"3K-RGP reference (unlabelled)"
"B166",-0.0266948329800623,-0.00544928479926868,0.0418109345715216,-0.000709278855590483,"3K-RGP reference (unlabelled)"
"B167",-0.0299847766973672,-0.00585368368250425,0.0457569377181213,-0.000591037597681778,"3K-RGP reference (unlabelled)"
"B168",-0.0281198761059484,-0.00584165858734001,0.0252901160317825,0.00323917525289812,"3K-RGP reference (unlabelled)"
"B169",-0.0294514998584436,-0.00630897510996579,0.050580439749238,0.000458247166497488,"3K-RGP reference (unlabelled)"
"B170",-0.0297625690220133,-0.00649723543529016,0.0443927521868256,0.00355545650560283,"3K-RGP reference (unlabelled)"
"B171",-0.0297335189447871,-0.00619037768972366,0.0523874544746116,0.000313960193017452,"3K-RGP reference (unlabelled)"
"B173",-0.00148567362390249,-0.000444715060153129,-0.0117521117720227,-0.0130160715023565,"3K-RGP reference (unlabelled)"
"B176",0.00691236177688066,-0.00632038712875421,-0.00418511198827727,0.00350246963571314,"3K-RGP reference (unlabelled)"
"B179",-0.0296032053573215,-0.00503753922883101,0.0401170724246546,-0.00304232890076488,"3K-RGP reference (unlabelled)"
"B180",0.0136084255683802,-0.00722395975053124,0.000334083237602065,0.000532620571462001,"3K-RGP reference (unlabelled)"
"B181",0.0099997812504857,-0.00872763725908085,0.00422105726750057,0.00309801873192345,"3K-RGP reference (unlabelled)"
"B182",-0.0301892885958702,-0.00598885598189423,0.0478001635520804,-0.000188226787098245,"3K-RGP reference (unlabelled)"
"B183",-0.0302921856913455,-0.00645011866503748,0.0522456715328599,0.000375918868451776,"3K-RGP reference (unlabelled)"
"B184",0.009342424246665,-0.00649094283292631,0.000519529805819476,-0.00160757372795162,"3K-RGP reference (unlabelled)"
"B185",0.0115512229676249,-0.00643649418888136,0.00393191224457323,0.00291378804184698,"3K-RGP reference (unlabelled)"
"B187",0.0115305916718309,0.000377228527685619,0.00276515749110875,0.0024460354743775,"3K-RGP reference (unlabelled)"
"B188",-0.0284240001856721,-0.00515283949483655,-0.0392180230030651,0.0206655267699772,"3K-RGP reference (unlabelled)"
"B189",-0.0281898560856104,-0.0040655356361409,-0.035562068789267,0.0161486216588107,"3K-RGP reference (unlabelled)"
"B190",-0.0282825570867967,-0.00544154337038675,-0.0391033167156039,0.0212898196888001,"3K-RGP reference (unlabelled)"
"B191",-0.0271618037457957,-0.00615684861923309,-0.00678867667554672,0.0154330870244864,"3K-RGP reference (unlabelled)"
"B192",-0.00418255655571052,-0.000440458193822595,-0.0111796866389153,0.0124487826712584,"3K-RGP reference (unlabelled)"
"B193",0.0123513196794023,-0.00952202229503416,0.0010790547566706,0.000916712294119577,"3K-RGP reference (unlabelled)"
"B194",0.0123179088690387,-0.00920227364136176,0.00213158043829599,0.00169244476074386,"3K-RGP reference (unlabelled)"
