sample,cluster,n_roh,total_kb,mean_kb,f_roh
IRIS_313-11155,C5,78,364698.0,4675.615384615385,0.9775705041746336
IRIS_313-11156,C5,119,357166.0,3001.3949579831933,0.9573810294929975
IRIS_313-11161,C5,185,345025.0,1865.0,0.924837161714221
IRIS_313-11164,C4,302,312870.0,1035.9933774834437,0.8386459032983938
IRIS_313-11165,C4,325,318620.0,980.3692307692307,0.8540587391214697
IRIS_313-11166,C4,325,308687.0,949.8061538461538,0.8274334002987543
IRIS_313-11167,C0,315,296813.0,942.2634920634921,0.7956052242008059
IRIS_313-11168,C4,128,61286.8,478.803125,0.16427884982985905
IRIS_313-11169,C4,303,332867.0,1098.5709570957097,0.892247725551272
IRIS_313-11170,C4,304,327626.0,1077.717105263158,0.8781992607601865
IRIS_313-11171,C4,338,307634.0,910.1597633136095,0.8246108409732416
IRIS_313-11172,C1,305,186020.0,609.9016393442623,0.4986253425754058
IRIS_313-11173,C4,317,324158.0,1022.5804416403786,0.8689033103889818
IRIS_313-11174,C4,219,117585.0,536.917808219178,0.3151857913489361
IRIS_313-11175,C1,290,332033.0,1144.941379310345,0.8900121942336293
IRIS_313-11176,C3,31,13173.2,424.94193548387096,0.03531067284600761
IRIS_313-11197,C2,343,322980.0,941.6326530612245,0.8657456894151412
IRIS_313-11198,C5,46,370786.0,8060.565217391304,0.9938893466947878
IRIS_313-11200,C2,282,338216.0,1199.3475177304965,0.9065856836065125
IRIS_313-11245,C2,278,339302.0,1220.5107913669065,0.9094966992071839
IRIS_313-11247,C2,298,340750.0,1143.456375838926,0.9133780533414124
IRIS_313-11255,C6,321,325479.0,1013.9532710280374,0.8724442418885093
IRIS_313-11257,C3,133,84025.3,631.7691729323309,0.22522924415386114
IRIS_313-11265,C4,321,321635.0,1001.9781931464174,0.8621404260791348
IRIS_313-11274,C4,52,27777.2,534.1769230769231,0.07445659534343384
IRIS_313-11275,C6,332,324190.0,976.4759036144578,0.8689890861709537
IRIS_313-11276,C6,54,31623.7,585.6240740740741,0.08476711238577497
IRIS_313-11277,C4,372,302337.0,812.733870967742,0.8104122685637053
IRIS_313-11281,C2,331,324326.0,979.8368580060423,0.8693536332443342
IRIS_313-11283,C6,268,340861.0,1271.8694029850747,0.9136755880851274
IRIS_313-11290,C3,29,14581.2,502.8,0.03908480725277125
IRIS_313-11291,C1,304,327963.0,1078.8256578947369,0.8791025869640782
IRIS_313-11298,C1,301,326113.0,1083.4318936877075,0.8741436745688276
IRIS_313-11299,C6,271,342267.0,1262.9778597785978,0.9174443615055178
IRIS_313-11302,C6,303,319513.0,1054.4983498349834,0.856452419537123
IRIS_313-11303,C6,176,129050.0,733.2386363636364,0.34591764573355616
IRIS_313-11304,C6,292,329558.0,1128.623287671233,0.8833779735967401
IRIS_313-11306,C6,263,346529.0,1317.6007604562737,0.9288686234669004
IRIS_313-11309,C6,271,344604.0,1271.6014760147602,0.9237086740826532
IRIS_313-11348,C4,359,311556.0,867.8440111420613,0.8351237352511727
IRIS_313-11355,C2,300,332378.0,1107.9266666666667,0.8909369643830138
IRIS_313-11358,C0,309,332540.0,1076.1812297734627,0.8913712042792465
IRIS_313-11371,C4,357,313413.0,877.90756302521,0.8401014110987295
IRIS_313-11374,C4,301,330531.0,1098.109634551495,0.8859860934673232
IRIS_313-11408,C0,300,332697.0,1108.99,0.8917920417095462
IRIS_313-11414,C0,284,335443.0,1181.137323943662,0.8991526760000099
IRIS_313-11433,C2,286,327904.0,1146.5174825174824,0.8789444378660675
IRIS_313-11445,C0,359,316311.0,881.0891364902507,0.8478694803535598
IRIS_313-11447,C6,320,331843.0,1037.009375,0.8895029005281712
IRIS_313-11452,C4,349,311274.0,891.9025787965616,0.8343678361725453
IRIS_313-11453,C0,391,279892.0,715.8363171355498,0.7502485989899768
IRIS_313-11454,C4,307,328353.0,1069.5537459283387,0.8801479793068607
IRIS_313-11455,C4,347,311996.0,899.1239193083574,0.8363031522532862
IRIS_313-11458,C4,357,311686.0,873.0700280112045,0.8354721993654335
IRIS_313-11462,C1,345,317638.0,920.6898550724637,0.851426494812207
IRIS_313-11476,C4,311,324248.0,1042.59807073955,0.8691445547757778
IRIS_313-11477,C4,317,315565.0,995.4731861198738,0.8458698324363398
IRIS_313-11479,C5,194,344988.0,1778.2886597938145,0.924737983466316
IRIS_313-11489,C1,340,300184.0,882.8941176470588,0.8046411667329084
IRIS_313-11491,C0,344,307851.0,894.9156976744187,0.8251925079947385
IRIS_313-11493,C6,288,342177.0,1188.1145833333333,0.9172031171187218
IRIS_313-11494,C5,131,359378.0,2743.343511450382,0.9633102804218051
IRIS_313-11596,C2,287,335618.0,1169.4006968641115,0.8996217623076688
IRIS_313-11597,C0,310,329903.0,1064.2032258064517,0.8843027437461246
IRIS_313-11599,C0,288,337605.0,1172.2395833333333,0.9049479022694865
IRIS_313-11600,C0,321,328523.0,1023.436137071651,0.8806036631485864
IRIS_313-11602,C4,331,321316.0,970.7432024169184,0.8612853487526023
IRIS_313-11604,C4,340,315962.0,929.3,0.8469339882314287
IRIS_313-11616,C0,258,303080.0,1174.7286821705427,0.8124038750013653
IRIS_313-11618,C1,342,313466.0,916.5672514619883,0.8402434772376205
IRIS_313-11620,C1,338,318728.0,942.9822485207101,0.8543482323856249
IRIS_313-11621,C2,328,313600.0,956.0975609756098,0.8406026633246277
IRIS_313-11636,C4,377,290185.0,769.7214854111406,0.777838915359876
IRIS_313-11638,C0,313,327648.0,1046.7987220447285,0.8782582316102923
IRIS_313-11639,C2,286,343540.0,1201.188811188811,0.9208566293320875
IRIS_313-11641,C0,303,327423.0,1080.6039603960396,0.8776551206433023
IRIS_313-11646,C0,248,332906.0,1342.3629032258063,0.8923522647855502
IRIS_313-11647,C0,337,318123.0,943.9851632047478,0.8527265340077187
IRIS_313-11648,C0,238,351571.0,1477.189075630252,0.9423836701138479
IRIS_313-11712,C4,383,291322.0,760.6318537859008,0.7808866361130651
IRIS_313-11737,C1,287,322698.0,1124.3832752613241,0.8649897903365138
IRIS_313-11738,C0,301,339834.0,1129.016611295681,0.9109227215824667
IRIS_313-11742,C4,312,318731.0,1021.5737179487179,0.8543562738651848
IRIS_313-11828,C0,332,328813.0,990.4006024096385,0.8813810061727068
IRIS_313-11913,C5,115,363315.0,3159.2608695652175,0.9738633820975355
IRIS_313-11917,C1,330,312192.0,946.0363636363636,0.8368285289178642
IRIS_313-11918,C0,166,84939.5,511.68373493975906,0.22767975102507085
IRIS_313-11919,C0,296,339387.0,1146.5777027027027,0.9097245411280467
IRIS_313-11937,C2,286,333243.0,1165.1853146853148,0.8932555909894417
IRIS_313-11963,C4,379,289881.0,764.8575197889182,0.7770240454311429
IRIS_313-12052,C0,313,325351.0,1039.4600638977636,0.8721011387606218
