sample,F,cluster,s_hat
BAM747,0.8604,C4,0.924962373683079
BAM759,-0.1028,C1,-0.22915737851092288
BAM766,0.8581,C4,0.9236316667563641
BAM807,0.8432,C4,0.9149305555555556
BAM811,0.798,C2,0.8876529477196886
BAM812,0.8415,C7,0.9139288623404833
BAM819,0.8478,C7,0.9176317783309883
BAM8296,0.8174,C5,0.8995267965225047
BAM8305,0.7879,C5,0.8813692040941887
BAM8315,0.8361,C4,0.9107347094384837
BAM8364,0.8424,C7,0.9144594007815893
BAMAWPYAN,0.8204,C8,0.9013403647549989
BENAMURI,0.8488,C6,0.9182172219818261
BLACKGORA,0.8567,C7,0.9228200570905369
CGR1656,0.8081,C2,0.893866489685305
CGR1679,0.8486,C6,0.9181001839229688
CGR2012,0.8576,C6,0.9233419465977605
CO18,0.8467,C0,0.9169870579953431
CRDHAN-204,0.8536,C7,0.9210185584807941
CR143-2-2,0.8061,C3,0.8926416034549582
CR262-4,0.8121,C3,0.8963081507643066
CROSSA,0.8625,C6,0.9261744966442953
DULAR,0.7802,C1,0.8765307268846197
EYPO,0.5167,C2,0.6813476626887321
EYPO-2,0.8468,C7,0.9170457006714317
FULKATI,0.7787,C1,0.8755832911677067
Ghanteswari,0.8118,C2,0.8961254001545425
GHATIKAMMANANGARHAR,0.8462,C7,0.9166937493229335
GotrabiDhan,0.8082,C2,0.8939276628691517
GP-145-37,0.849,C6,0.918334234721471
GP-145-51,0.8065,C6,0.8928867976750623
HARBHOONDI,0.8451,C7,0.9160479106823478
HongZuiEr,0.8157,C2,0.8984964476510436
IndrabaruniDhan,0.8111,C3,0.8956987466180774
IR74371-54-1-1,0.8182,C3,0.9000109998900011
IR77298-14-1-2-10,0.8079,C3,0.8937441230156534
IR77298-5-6-18,0.803,C5,0.8907376594564616
IR83383-B-B-129-4,0.8167,C5,0.8991027687565366
IR83388-B-B108-3,0.8082,C3,0.8939276628691517
IR87707-445-B-B,0.8075,C5,0.8934993084370677
IR87707-446-B-B,0.7383,C5,0.8494506126675487
IRROEPYO,0.304,C8,0.4662576687116564
KALINGA-1,0.8158,C2,0.8985571098138562
KANGRO,0.8457,C0,0.9164002817359268
KHAODAWTAI,0.8405,C7,0.9133387666395002
MANDRIRAVINA,0.8467,C0,0.9169870579953431
MAUDAMANI,0.8414,C7,0.913869881611817
MOROBEREKAN,0.809,C4,0.894416804864566
MTU1010,0.8052,C5,0.8920895191668513
MTU9,0.8442,C0,0.9155189241947729
NERICA-L-26,0.8085,C3,0.8941111418302461
NERICA-L-42,0.8029,C3,0.8906761328969992
NERICA-L-44,0.8102,C5,0.8951497072146725
PARIJAT,0.8075,C2,0.8934993084370677
Patchaiperumal,0.8106,C2,0.8953937921131117
PEH-KUH-TSAO-TU,0.8468,C0,0.9170457006714317
PMK-2,0.8119,C2,0.8961863237485511
PRASAD-1,0.846,C7,0.9165763813651137
PUSASUGANDH5,0.8142,C2,0.8975857127108368
PUSA1121,0.7884,C1,0.8816819503466786
Pusa1121-SN12,0.7562,C1,0.8611775424211365
PUSA44,0.8123,C2,0.8964299508911329
PUSABASMATI6,0.8325,C7,0.9085948158253752
PUSASUGANDH2,0.8407,C7,0.9134568370728527
RASI,0.5261,C2,0.6894698905707358
RKVY-104,0.7708,C1,0.8705669753783601
RKVY-143,0.8097,C6,0.894844449356247
RKVY-28,0.7681,C1,0.8688422600531645
R-RF-44,0.8209,C5,0.9016420451425119
RRF-78,0.8017,C5,0.8899372814564023
Sadabahar,0.7623,C6,0.8651194461782897
SAFRI-17,0.6794,C7,0.8090984875550792
SAHBHAGIDHAN,0.8175,C2,0.8995873452544705
SATABHAMA,0.8462,C7,0.9166937493229335
SERATOES,0.7623,C1,0.8651194461782897
SERETY,0.8503,C0,0.9190942009403881
SHAKU,0.03639,C7,0.07022452937600711
SR1-3-1,0.8428,C7,0.9146950293032342
SUWEON,0.09791,C7,0.17835706023262382
SWARNA,0.8148,C3,0.8979501873484681
VANAPRAVA,0.7715,C1,0.8710132655941292
VANDANA,0.7979,C3,0.8875910784804495
Wayrarem,0.7931,C3,0.8846132396408455
